,age_group,education,gender,nationality,electoral_district,unit,n
0,16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,519
1,16-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,62
2,16-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,552
3,16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,656
4,16-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,84
5,16-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,905
6,16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,386
7,16-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,51
8,16-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,490
9,16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,671
10,16-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,56
11,16-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,800
12,16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,651
13,16-24,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,79
14,16-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,714
15,16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,697
16,16-24,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,107
17,16-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,791
18,16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,293
19,16-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,40
20,16-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,354
21,16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,492
22,16-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,51
23,16-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,620
24,16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,2714
25,16-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,228
26,16-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,3853
27,16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,187
28,16-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,16
29,16-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,195
30,16-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,760
31,16-24,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,55
32,16-24,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,739
33,16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,542
34,16-24,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,36
35,16-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,690
36,16-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,542
37,16-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,40
38,16-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,787
39,16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,345
40,16-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,20
41,16-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,446
42,16-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1111
43,16-24,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,76
44,16-24,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1358
45,16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,454
46,16-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,27
47,16-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,604
48,16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,1555
49,16-24,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,120
50,16-24,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1961
51,16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,652
52,16-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,31
53,16-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,867
54,16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,577
55,16-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,43
56,16-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,735
57,16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,1457
58,16-24,Higher education,Male,Estonian,Tartu linn,Tartu linn,176
59,16-24,Basic education,Male,Estonian,Tartu linn,Tartu linn,1887
60,16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1158
61,16-24,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,94
62,16-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1589
63,16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,483
64,16-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,25
65,16-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,636
66,16-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,949
67,16-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,47
68,16-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1082
69,16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,682
70,16-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,31
71,16-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,833
72,16-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,295
73,16-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,25
74,16-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,350
75,16-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,96
76,16-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,12
77,16-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,151
78,16-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,99
79,16-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,2
80,16-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,93
81,16-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,845
82,16-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,50
83,16-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1212
84,16-24,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,259
85,16-24,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,21
86,16-24,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,341
87,16-24,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,55
88,16-24,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,5
89,16-24,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,56
90,16-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,56
91,16-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,4
92,16-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,64
93,16-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,245
94,16-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,7
95,16-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,331
96,16-24,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,385
97,16-24,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,20
98,16-24,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,550
99,16-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
100,16-24,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1490
101,16-24,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,71
102,16-24,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,1844
103,16-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,27
104,16-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,3
105,16-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,38
106,16-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,3
107,16-24,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,1
108,16-24,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,11
109,16-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,16
110,16-24,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1
111,16-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,30
112,16-24,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,65
113,16-24,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,5
114,16-24,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,114
115,16-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,9
116,16-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,12
117,16-24,Secondary education,Male,Other,Pärnumaa,Pärnumaa,68
118,16-24,Higher education,Male,Other,Pärnumaa,Pärnumaa,8
119,16-24,Basic education,Male,Other,Pärnumaa,Pärnumaa,98
120,16-24,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,7
121,16-24,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,1
122,16-24,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,30
123,16-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
124,16-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
125,16-24,Secondary education,Male,Other,Tartu linn,Tartu linn,163
126,16-24,Higher education,Male,Other,Tartu linn,Tartu linn,9
127,16-24,Basic education,Male,Other,Tartu linn,Tartu linn,240
128,16-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,54
129,16-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,2
130,16-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,90
131,16-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,35
132,16-24,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,2
133,16-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,90
134,16-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,6
135,16-24,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,10
136,16-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,9
137,16-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,14
138,16-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,474
139,16-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,116
140,16-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,501
